year	filiere	banque	ecole	inscrits_nb	inscrits_filles	inscrits_cinq_demi	admissibles_nb	admissibles_filles	admissibles_cinq_demi	classes_nb	classes_filles	classes_cinq_demi	integres_nb	integres_filles	integres_cinq_demi	integres_rg_median	integres_rg_moyen	nb_integres_interfilieres	places
2023	TSI	Concours Polytechnique	ECOLE POLYTECHNIQUE	612	10,0%	15,0%	2	0,0%	50,0%	2	0,0%	50,0%	2	0,0%	50,0%	2	2		2
2023	TSI	Concours CENTRALE-SUPELEC	Arts et Métiers	794	9,8%	13,6%	180	13,9%	23,3%	170	14,1%	23,5%	35	8,6%	31,4%	87	84		35
2023	TSI	Concours CENTRALE-SUPELEC	Centrale Casablanca	354	5,9%	16,7%	37	5,4%	32,4%	35	5,7%	34,3%	1	0,0%	0,0%	35	35		2
2023	TSI	Concours CENTRALE-SUPELEC	Centrale Lille	548	9,9%	14,8%	68	16,2%	10,3%	64	17,2%	10,9%	5	20,0%	20,0%	30	30		5
2023	TSI	Concours CENTRALE-SUPELEC	Centrale Lyon	543	10,3%	15,3%	57	15,8%	12,3%	54	16,7%	13,0%	5	20,0%	20,0%	25	24		5
2023	TSI	Concours CENTRALE-SUPELEC	Centrale Méditerranée	493	7,3%	15,6%	97	9,3%	25,8%	91	8,8%	26,4%	7	0,0%	0,0%	35	34		5
2023	TSI	Concours CENTRALE-SUPELEC	Centrale Nantes	584	10,8%	14,2%	60	15,0%	11,7%	56	16,1%	12,5%	9	11,1%	0,0%	15	20		8
2023	TSI	Concours CENTRALE-SUPELEC	CentraleSupélec - statut étudiant										5	0,0%	0,0%	4	4		5
2023	TSI	Concours CENTRALE-SUPELEC	CentraleSupélec - cursus apprenti - Campus Metz										6	16,7%	33,3%	52	53		5
2023	TSI	Concours CENTRALE-SUPELEC	CentraleSupélec - cursus apprenti - Campus Rennes										12	0,0%	16,7%	38	37		11
2023	TSI	Concours CENTRALE-SUPELEC	Concours CentraleSupélec TSI	606	8,6%	15,3%	100	9,0%	20,0%	94	9,6%	21,3%	23						21
2023	TSI	Concours CENTRALE-SUPELEC	ENSEA Cergy	794	9,8%	13,6%	180	13,9%	23,3%	170	14,1%	23,5%	3	33,3%	33,3%	142	146		10
2023	TSI	Concours CENTRALE-SUPELEC	ESIX Cherbourg GSI	551	7,4%	14,7%	282	6,4%	18,8%	58	6,9%	15,5%	11	18,2%	18,2%	30	34		30
2023	TSI	Concours CENTRALE-SUPELEC	ESIX Caen Mécatronique et Systèmes Embarqués	523	6,9%	15,1%	248	6,0%	19,4%	39	7,7%	12,8%	8	0,0%	25,0%	21	21		10
2023	TSI	Concours CENTRALE-SUPELEC	ESTP - campus de Dijon										8	12,5%	0,0%	82	85		12
2023	TSI	Concours CENTRALE-SUPELEC	ESTP - campus de Troyes										4	0,0%	25,0%	106	90		12
2023	TSI	Concours CENTRALE-SUPELEC	ESTP - campus de Cachan										27	11,1%	3,7%	90	85		38
2023	TSI	Concours CENTRALE-SUPELEC	ESTP - campus de d'Orléans										1	0,0%	0,0%	108	108		4
